athlete_name,year,event_order,points_earned,event_name,athlete_country,athlete_profile_url,athlete_stance,athlete_first_season,athlete_age,athlete_height,athlete_weight,injuried_flag
Kolohe Andino,2022,3,4745,MEO Pro Portugal,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,28,180,79,0.0
Jadson Andre,2022,3,1330,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,32,170,70,0.0
Seth Moniz,2022,3,1330,MEO Pro Portugal,Hawaii,https://www.worldsurfleague.com/athletes/3955/seth-moniz,Regular,2012 Men's JR,25,170,68,0.0
Jackson Baker,2022,3,3320,MEO Pro Portugal,Australia,https://www.worldsurfleague.com/athletes/3812/jackson-baker,Regular,2012 Men's JR,,,,0.0
Gabriel Medina,2022,3,265,MEO Pro Portugal,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,28,180,77,1.0
Kelly Slater,2010,4,1750,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,38,175,73,0.0
Jordy Smith,2010,4,10000,Billabong Pro J-Bay,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,22,190,88,0.0
Mick Fanning,2010,4,3750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,29,178,79,0.0
Dane Reynolds,2010,4,5250,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/580/dane-reynolds,Regular,2003 Men's CT,25,183,79,0.0
Taj Burrow,2010,4,6500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/555/taj-burrow,Regular,1996 Men's CT,32,175,72,0.0
Bede Durbidge,2010,4,6500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/558/bede-durbidge,Regular,2002 Men's CT,27,185,82,0.0
Owen Wright,2010,4,3750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,20,190,81,0.0
Adrian Buchan,2010,4,3750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,28,175,75,0.0
Jeremy Flores,2010,4,500,Billabong Pro J-Bay,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,22,173,72,0.0
Adriano de Souza,2010,4,5250,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,23,170,66,0.0
Michel Bourez,2010,4,1750,Billabong Pro J-Bay,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,24,175,80,0.0
Damien Hobgood,2010,4,5250,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/584/damien-hobgood,Goofy,1999 Men's CT,31,177,70,0.0
Jadson Andre,2010,4,500,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,20,170,70,0.0
Kieren Perrow,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/577/kieren-perrow,Regular,2001 Men's CT,33,175,68,0.0
Chris Davidson,2010,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/233/chris-davidson,,1994 Men's CT,,,,0.0
C. J. Hobgood,2010,4,500,Billabong Pro J-Bay,,,,,,,,0.0
Taylor Knox,2010,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/12/taylor-knox,Regular,1989 Men's CT,39,,,0.0
Andy Irons,2010,4,3750,Billabong Pro J-Bay,Hawaii,https://www.worldsurfleague.com/athletes/559/andy-irons,Regular,1997 Men's CT,20,183,77,0.0
Freddy Patacchia Jr.,2010,4,1750,Billabong Pro J-Bay,Hawaii,https://www.worldsurfleague.com/athletes/2/freddy-patacchia-jr,Goofy,2002 Men's CT,28,172,74,0.0
Bobby Martinez,2010,4,1750,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/561/bobby-martinez,Goofy,2006 Men's CT,28,,,0.0
Tiago Pires,2010,4,3750,Billabong Pro J-Bay,Portugal,https://www.worldsurfleague.com/athletes/585/tiago-pires,Regular,1999 Men's CT,30,167,69,0.0
Patrick Gudauskas,2010,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/4/patrick-gudauskas,Regular,2008 Men's QS,24,183,72,0.0
Brett Simpson,2010,4,3750,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/23/brett-simpson,Regular,2008 Men's QS,25,185,81,0.0
Matt Wilkinson,2010,4,3750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,22,180,82,0.0
Joel Parkinson,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,29,183,82,0.0
Dusty Payne,2010,4,3750,Billabong Pro J-Bay,Hawaii,https://www.worldsurfleague.com/athletes/8/dusty-payne,Regular,2008 Men's QS,21,178,74,0.0
Adam Melling,2010,4,8000,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/260/adam-melling,Regular,2008 Men's QS,25,175,75,0.0
Daniel Ross,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/582/daniel-ross,,2008 Men's CT,,,,0.0
Travis Logie,2010,4,1750,Billabong Pro J-Bay,South Africa,https://www.worldsurfleague.com/athletes/572/travis-logie,Goofy,2003 Men's CT,31,167,66,0.0
Kai Otton,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/565/kai-otton,Goofy,2007 Men's CT,30,180,76,0.0
Tom Whitaker,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/560/tom-whitaker,Regular,2003 Men's CT,,,,0.0
Luke Stedman,2010,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/574/luke-stedman,,2003 Men's CT,,,,0.0
Roy Powers,2010,4,500,Billabong Pro J-Bay,Hawaii,https://www.worldsurfleague.com/athletes/210/roy-powers,,2006 Men's CT,,,,0.0
Luke Munro,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/573/luke-munro,,2002 Men's CT,,,,0.0
Dean Morrison,2010,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/567/dean-morrison,Regular,2000 Men's CT,29,,,0.0
Neco Padaratz,2010,4,1750,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/581/neco-padaratz,Regular,1989 Men's CT,,,,0.0
Kekoa Bacalso,2010,4,1750,Billabong Pro J-Bay,Hawaii,https://www.worldsurfleague.com/athletes/40/kekoa-bacalso,,2001 Men's CT,,,,0.0
Ben Dunn,2010,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/583/ben-dunn,,2004 Men's CT,,,,0.0
Tanner Gudauskas,2010,4,1750,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/25/tanner-gudauskas,Goofy,2008 Men's QS,22,178,81,0.0
Nathan Yeomans,2010,4,1750,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/22/nathan-yeomans,Goofy,2003 Men's CT,29,,79,0.0
Jay Thompson,2010,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/568/jay-thompson,Regular,2006 Men's CT,28,188,87,0.0
Marco Polo,2010,4,500,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/431/marco-polo,,2007 Men's CT,,,,0.0
Drew Courtney,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/222/drew-courtney,,1999 Men's CT,,,,0.0
Mick Campbell,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/205/mick-campbell,Goofy,1996 Men's CT,,,,0.0
Blake Thornton,2010,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/271/blake-thornton,Regular,2008 Men's QS,,,,0.0
Joan Duru,2010,4,1750,Billabong Pro J-Bay,France,https://www.worldsurfleague.com/athletes/621/joan-duru,Goofy,2006 Men's CT,21,177,77,0.0
Tim Reyes,2010,4,1750,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/578/tim-reyes,Regular,2005 Men's CT,28,,71,0.0
Joel Parkinson,2011,4,6500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,30,183,82,0.0
Owen Wright,2011,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,21,190,81,0.0
Taj Burrow,2011,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/555/taj-burrow,Regular,1996 Men's CT,33,175,72,0.0
Adriano de Souza,2011,4,1750,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,24,170,66,0.0
Michel Bourez,2011,4,4000,Billabong Pro J-Bay,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,25,175,80,0.0
Jordy Smith,2011,4,10000,Billabong Pro J-Bay,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,23,190,88,0.0
Josh Kerr,2011,4,5200,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/606/josh-kerr,Regular,2007 Men's CT,27,173,69,0.0
Julian Wilson,2011,4,5200,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,22,183,82,0.0
Alejo Muniz,2011,4,5200,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/708/alejo-muniz,Regular,2008 Men's QS,21,175,72,0.0
Mick Fanning,2011,4,8000,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,30,178,79,0.0
Jeremy Flores,2011,4,1750,Billabong Pro J-Bay,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,23,173,72,0.0
Damien Hobgood,2011,4,5200,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/584/damien-hobgood,Goofy,1999 Men's CT,32,177,70,0.0
Kieren Perrow,2011,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/577/kieren-perrow,Regular,2001 Men's CT,34,175,68,0.0
Bede Durbidge,2011,4,4000,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/558/bede-durbidge,Regular,2002 Men's CT,28,185,82,0.0
Adrian Buchan,2011,4,6500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,29,175,75,0.0
Heitor Alves,2011,4,1750,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/566/heitor-alves,Goofy,2007 Men's CT,29,167,66,0.0
Brett Simpson,2011,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/23/brett-simpson,Regular,2008 Men's QS,26,185,81,0.0
Matt Wilkinson,2011,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,23,180,82,0.0
Taylor Knox,2011,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/12/taylor-knox,Regular,1989 Men's CT,40,,,0.0
Jadson Andre,2011,4,1750,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,21,170,70,0.0
Tiago Pires,2011,4,1750,Billabong Pro J-Bay,Portugal,https://www.worldsurfleague.com/athletes/585/tiago-pires,Regular,1999 Men's CT,31,167,69,0.0
Freddy Patacchia Jr.,2011,4,500,Billabong Pro J-Bay,Hawaii,https://www.worldsurfleague.com/athletes/2/freddy-patacchia-jr,Goofy,2002 Men's CT,29,172,74,0.0
Chris Davidson,2011,4,500,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/233/chris-davidson,,1994 Men's CT,,,,0.0
Kai Otton,2011,4,1750,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/565/kai-otton,Goofy,2007 Men's CT,31,180,76,0.0
Adam Melling,2011,4,4000,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/260/adam-melling,Regular,2008 Men's QS,26,175,75,0.0
Daniel Ross,2011,4,4000,Billabong Pro J-Bay,Australia,https://www.worldsurfleague.com/athletes/582/daniel-ross,,2008 Men's CT,,,,0.0
Raoni Monteiro,2011,4,500,Billabong Pro J-Bay,Brazil,https://www.worldsurfleague.com/athletes/467/raoni-monteiro,Regular,1999 Men's CT,29,177,76,0.0
Travis Logie,2011,4,1750,Billabong Pro J-Bay,South Africa,https://www.worldsurfleague.com/athletes/572/travis-logie,Goofy,2003 Men's CT,32,167,66,0.0
C. J. Hobgood,2011,4,500,Billabong Pro J-Bay,,,,,,,,0.0
Dusty Payne,2011,4,1750,Billabong Pro J-Bay,Hawaii,https://www.worldsurfleague.com/athletes/8/dusty-payne,Regular,2008 Men's QS,22,178,74,0.0
Patrick Gudauskas,2011,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/4/patrick-gudauskas,Regular,2008 Men's QS,25,183,72,0.0
Cory Lopez,2011,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/7/cory-lopez,Goofy,1989 Men's CT,34,,,0.0
Dane Reynolds,2011,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/580/dane-reynolds,Regular,2003 Men's CT,26,183,79,1.0
Gabe Kling,2011,4,500,Billabong Pro J-Bay,United States,https://www.worldsurfleague.com/athletes/600/gabe-kling,Regular,2007 Men's CT,31,,,0.0
Joel Parkinson,2012,4,4000,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,31,183,82,0.0
Kelly Slater,2012,4,10000,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,40,175,73,0.0
Mick Fanning,2012,4,6500,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,31,178,79,0.0
John John Florence,2012,4,5200,Volcom Fiji Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,19,186,79,0.0
Adriano de Souza,2012,4,5200,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,25,170,66,0.0
Taj Burrow,2012,4,5200,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/555/taj-burrow,Regular,1996 Men's CT,34,175,72,0.0
Gabriel Medina,2012,4,8000,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,18,180,77,0.0
Josh Kerr,2012,4,1750,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/606/josh-kerr,Regular,2007 Men's CT,28,173,69,0.0
Julian Wilson,2012,4,5200,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,23,183,82,0.0
Owen Wright,2012,4,4000,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/297/owen-wright,Goofy,2006 Men's CT,22,190,81,0.0
Jeremy Flores,2012,4,1750,Volcom Fiji Pro,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,24,173,72,0.0
Jordy Smith,2012,4,1750,Volcom Fiji Pro,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,24,190,88,0.0
C. J. Hobgood,2012,4,6500,Volcom Fiji Pro,,,,,,,,0.0
Adrian Buchan,2012,4,1750,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,30,175,75,0.0
Michel Bourez,2012,4,500,Volcom Fiji Pro,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,26,175,80,0.0
Damien Hobgood,2012,4,4000,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/584/damien-hobgood,Goofy,1999 Men's CT,33,177,70,0.0
Miguel Pupo,2012,4,1750,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/688/miguel-pupo,Goofy,2008 Men's QS,20,175,73,0.0
Alejo Muniz,2012,4,1750,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/708/alejo-muniz,Regular,2008 Men's QS,22,175,72,0.0
Kieren Perrow,2012,4,500,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/577/kieren-perrow,Regular,2001 Men's CT,35,175,68,0.0
Bede Durbidge,2012,4,1750,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/558/bede-durbidge,Regular,2002 Men's CT,29,185,82,0.0
Travis Logie,2012,4,500,Volcom Fiji Pro,South Africa,https://www.worldsurfleague.com/athletes/572/travis-logie,Goofy,2003 Men's CT,33,167,66,0.0
Kai Otton,2012,4,1750,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/565/kai-otton,Goofy,2007 Men's CT,32,180,76,0.0
Kolohe Andino,2012,4,500,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/1164/kolohe-andino,Regular,2008 Men's QS,18,180,79,0.0
Matt Wilkinson,2012,4,500,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/226/matt-wilkinson,Goofy,2006 Men's CT,24,180,82,0.0
Brett Simpson,2012,4,1750,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/23/brett-simpson,Regular,2008 Men's QS,27,185,81,0.0
Yadin Nicol,2012,4,500,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/594/yadin-nicol,Regular,2006 Men's CT,26,175,70,0.0
Heitor Alves,2012,4,4000,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/566/heitor-alves,Goofy,2007 Men's CT,30,167,66,0.0
Raoni Monteiro,2012,4,500,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/467/raoni-monteiro,Regular,1999 Men's CT,30,177,76,0.0
Tiago Pires,2012,4,1750,Volcom Fiji Pro,Portugal,https://www.worldsurfleague.com/athletes/585/tiago-pires,Regular,1999 Men's CT,32,167,69,0.0
Freddy Patacchia Jr.,2012,4,1750,Volcom Fiji Pro,Hawaii,https://www.worldsurfleague.com/athletes/2/freddy-patacchia-jr,Goofy,2002 Men's CT,30,172,74,0.0
Taylor Knox,2012,4,500,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/12/taylor-knox,Regular,1989 Men's CT,41,,,0.0
Adam Melling,2012,4,500,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/260/adam-melling,Regular,2008 Men's QS,27,175,75,0.0
Jadson Andre,2012,4,500,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/466/jadson-andre,Goofy,2008 Men's QS,22,170,70,1.0
Patrick Gudauskas,2012,4,500,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/4/patrick-gudauskas,Regular,2008 Men's QS,26,183,72,0.0
Dusty Payne,2012,4,500,Volcom Fiji Pro,Hawaii,https://www.worldsurfleague.com/athletes/8/dusty-payne,Regular,2008 Men's QS,23,178,74,1.0
Willian Cardoso,2012,4,500,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/622/willian-cardoso,Regular,2008 Men's QS,26,179,95,0.0
Mick Fanning,2013,4,8000,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/554/mick-fanning,Regular,1999 Men's CT,32,178,79,0.0
Kelly Slater,2013,4,10000,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater,Regular,1989 Men's CT,41,175,73,0.0
Joel Parkinson,2013,4,5200,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/556/joel-parkinson,Regular,1999 Men's CT,32,183,82,0.0
Jordy Smith,2013,4,5200,Volcom Fiji Pro,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith,Regular,2006 Men's CT,25,190,88,0.0
Taj Burrow,2013,4,4000,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/555/taj-burrow,Regular,1996 Men's CT,35,175,72,0.0
Julian Wilson,2013,4,1750,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/763/julian-wilson,Regular,2007 Men's CT,24,183,82,0.0
Kai Otton,2013,4,1750,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/565/kai-otton,Goofy,2007 Men's CT,33,180,76,0.0
Nat Young,2013,4,4000,Volcom Fiji Pro,United States,https://www.worldsurfleague.com/athletes/139/nat-young,Goofy,2008 Men's QS,22,180,75,0.0
Josh Kerr,2013,4,5200,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/606/josh-kerr,Regular,2007 Men's CT,29,173,69,0.0
John John Florence,2013,4,6500,Volcom Fiji Pro,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence,Regular,2008 Men's QS,20,186,79,0.0
C. J. Hobgood,2013,4,6500,Volcom Fiji Pro,,,,,,,,0.0
Michel Bourez,2013,4,500,Volcom Fiji Pro,France,https://www.worldsurfleague.com/athletes/593/michel-bourez,Regular,2007 Men's CT,27,175,80,0.0
Adriano de Souza,2013,4,500,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/13/adriano-de-souza,Regular,2006 Men's CT,26,170,66,0.0
Gabriel Medina,2013,4,500,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/1085/gabriel-medina,Goofy,2008 Men's QS,19,180,77,0.0
Filipe Toledo,2013,4,500,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo,Regular,2009 Men's QS,18,175,70,0.0
Sebastian Zietz,2013,4,5200,Volcom Fiji Pro,Hawaii,https://www.worldsurfleague.com/athletes/14/sebastian-zietz,Regular,2008 Men's QS,25,183,77,0.0
Adrian Buchan,2013,4,500,Volcom Fiji Pro,Australia,https://www.worldsurfleague.com/athletes/575/adrian-buchan,Goofy,2003 Men's CT,31,175,75,0.0
Jeremy Flores,2013,4,4000,Volcom Fiji Pro,France,https://www.worldsurfleague.com/athletes/562/jeremy-flores,Regular,2006 Men's CT,25,173,72,0.0
Miguel Pupo,2013,4,1750,Volcom Fiji Pro,Brazil,https://www.worldsurfleague.com/athletes/688/miguel-pupo,Goofy,2008 Men's QS,21,175,73,0.0
